E:\XXXXXXX\Peak Valley - Actual Test - ELF 6 03122018 024548_pvd.CSV ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Created ,3/12/2018,2:45:49 PM,,,,,,,,
2.56,109665,0,0.074,-1.88,-0.002,-2.056,0.028,-1.874,0.096,-1.713
2.6,109666,0,0.072,-1.881,-0.017,-2.057,0.027,-1.871,0.098,-1.715
2.64,109667,0,0.073,-1.88,-0.006,-2.058,0.028,-1.869,0.1,-1.708
2.68,109668,0,0.071,-1.884,-0.006,-2.063,0.026,-1.869,0.094,-1.715
2.72,109669,0,0.073,-1.882,-0.006,-2.064,0.027,-1.873,0.1,-1.719
2.76,109670,0,0.071,-1.882,-0.007,-2.061,0.027,-1.871,0.092,-1.721
2.8,109671,0,0.073,-1.881,-0.011,-2.056,0.032,-1.87,0.1,-1.722
2.84,109672,0,0.072,-1.88,-0.006,-2.057,0.029,-1.87,0.1,-1.718
2.88,109673,0,0.073,-1.88,-0.004,-2.059,0.032,-1.869,0.104,-1.725
2.92,109674,0,0.073,-1.88,-0.011,-2.055,0.027,-1.873,0.109,-1.722
2.96,109675,0,0.074,-1.88,-0.005,-2.055,0.027,-1.871,0.107,-1.725
3,109676,0,0.076,-1.882,-0.007,-2.055,0.032,-1.871,0.114,-1.724
3.04,109677,0,0.074,-1.881,0.004,-2.059,0.029,-1.87,0.098,-1.726
3.08,109678,0,0.073,-1.882,-0.005,-2.056,0.029,-1.869,0.1,-1.726
3.12,109679,0,0.071,-1.882,-0.004,-2.056,0.032,-1.873,0.11,-1.724
3.16,109680,0,0.074,-1.881,-0.001,-2.061,0.029,-1.869,0.109,-1.725
3.2,109681,0,0.073,-1.881,0.004,-2.063,0.031,-1.868,0.1,-1.725
3.24,109682,0,0.072,-1.881,0.007,-2.057,0.033,-1.871,0.099,-1.726
3.28,109683,0,0.076,-1.882,0.004,-2.059,0.031,-1.869,0.11,-1.729
3.32,109684,0,0.076,-1.884,0.007,-2.057,0.033,-1.873,0.1,-1.729
3.36,109685,0,0.073,-1.882,0.005,-2.062,0.028,-1.87,0.1,-1.726
3.4,109686,0,0.073,-1.882,-0.002,-2.061,0.033,-1.869,0.096,-1.729
3.44,109687,0,0.073,-1.882,0.007,-2.062,0.033,-1.87,0.101,-1.727
3.48,109688,0,0.076,-1.884,0.012,-2.064,0.029,-1.869,0.107,-1.725
3.52,109689,0,0.074,-1.882,0.004,-2.059,0.032,-1.871,0.098,-1.72
3.56,109690,0,0.077,-1.882,0,-2.059,0.031,-1.869,0.1,-1.724
3.6,109691,0,0.072,-1.882,0,-2.057,0.029,-1.868,0.101,-1.718
3.64,109692,0,0.074,-1.881,-0.002,-2.062,0.037,-1.869,0.094,-1.72
3.68,109693,0,0.073,-1.882,0.006,-2.056,0.032,-1.868,0.089,-1.719
3.72,109694,0,0.074,-1.882,0.006,-2.048,0.037,-1.867,0.096,-1.721
3.76,109695,0,0.073,-1.882,-0.004,-2.058,0.029,-1.865,0.092,-1.722
3.8,109696,0,0.078,-1.881,0.002,-2.059,0.032,-1.867,0.101,-1.721
3.84,109697,0,0.076,-1.882,0.007,-2.061,0.037,-1.864,0.1,-1.722
3.88,109698,0,0.077,-1.881,0.015,-2.059,0.032,-1.863,0.1,-1.719
3.92,109699,0,0.074,-1.881,0.009,-2.061,0.037,-1.864,0.096,-1.721
3.96,109700,0,0.077,-1.882,0.009,-2.062,0.032,-1.864,0.095,-1.721
4,109701,0,0.077,-1.882,0.007,-2.063,0.037,-1.86,0.101,-1.724
4.04,109702,0,0.078,-1.882,0.004,-2.062,0.033,-1.863,0.099,-1.722
4.08,109703,0,0.077,-1.885,0.006,-2.063,0.031,-1.863,0.101,-1.727
4.12,109704,0,0.077,-1.885,0.013,-2.062,0.032,-1.864,0.105,-1.726
4.16,109705,0,0.081,-1.884,0.013,-2.061,0.031,-1.86,0.104,-1.726
4.2,109706,0,0.078,-1.884,0.013,-2.061,0.032,-1.858,0.101,-1.722
4.24,109707,0,0.076,-1.884,0.012,-2.062,0.033,-1.86,0.098,-1.721
4.28,109708,0,0.077,-1.884,0.016,-2.065,0.032,-1.863,0.104,-1.724
4.32,109709,0,0.082,-1.881,0.011,-2.063,0.039,-1.863,0.089,-1.716
4.36,109710,0,0.076,-1.881,0.013,-2.062,0.028,-1.86,0.099,-1.727
4.4,109711,0,0.076,-1.88,0.015,-2.062,0.033,-1.865,0.101,-1.727
4.44,109712,0,0.082,-1.881,0.013,-2.059,0.033,-1.871,0.106,-1.724
4.48,109713,0,0.081,-1.881,0.012,-2.057,0.033,-1.868,0.096,-1.727
4.52,109714,0,0.081,-1.882,0.015,-2.058,0.04,-1.871,0.1,-1.729
4.56,109715,0,0.082,-1.874,0.013,-2.055,0.032,-1.868,0.098,-1.721
4.6,109716,0,0.082,-1.877,0.013,-2.055,0.037,-1.868,0.099,-1.726
4.64,109717,0,0.084,-1.88,0.007,-2.055,0.039,-1.868,0.092,-1.729
4.68,109718,0,0.082,-1.88,0.016,-2.056,0.038,-1.87,0.094,-1.724
4.72,109719,0,0.082,-1.882,0.012,-2.057,0.04,-1.871,0.101,-1.724
4.76,109720,0,0.081,-1.88,0.011,-2.056,0.037,-1.868,0.1,-1.727
4.8,109721,0,0.081,-1.881,0.013,-2.053,0.039,-1.864,0.1,-1.725
4.84,109722,0,0.081,-1.884,0.011,-2.057,0.037,-1.864,0.1,-1.722
4.88,109723,0,0.082,-1.88,0.013,-2.056,0.038,-1.867,0.099,-1.731
4.92,109724,0,0.081,-1.884,0.012,-2.061,0.039,-1.865,0.105,-1.727
4.96,109725,0,0.082,-1.881,0.02,-2.058,0.037,-1.865,0.1,-1.724
5,109726,0,0.082,-1.881,0.013,-2.062,0.037,-1.864,0.107,-1.724
5.04,109727,0,0.077,-1.882,0.011,-2.057,0.033,-1.863,0.1,-1.727
5.08,109728,0,0.081,-1.886,0.013,-2.059,0.039,-1.868,0.092,-1.729
5.12,109729,0,0.082,-1.88,0.011,-2.056,0.044,-1.864,0.098,-1.722
5.16,109730,0,0.082,-1.884,0.012,-2.058,0.038,-1.867,0.1,-1.729
5.2,109731,0,0.082,-1.882,0.017,-2.059,0.039,-1.867,0.099,-1.727
5.24,109732,0,0.081,-1.882,0.015,-2.057,0.042,-1.865,0.106,-1.729
5.28,109733,0,0.078,-1.885,0.015,-2.057,0.038,-1.86,0.092,-1.725
5.32,109734,0,0.078,-1.885,0.015,-2.058,0.042,-1.864,0.11,-1.725
5.36,109735,0,0.081,-1.882,0.016,-2.056,0.04,-1.864,0.1,-1.725
5.4,109736,0,0.077,-1.885,0.015,-2.058,0.042,-1.86,0.096,-1.71
5.44,109737,0,0.081,-1.884,0.013,-2.059,0.043,-1.865,0.105,-1.724
5.48,109738,0,0.081,-1.882,0.013,-2.057,0.039,-1.865,0.098,-1.724
5.52,109739,0,0.083,-1.882,0.015,-2.058,0.042,-1.864,0.104,-1.729
5.56,109740,0,0.081,-1.877,0.012,-2.058,0.039,-1.864,0.096,-1.708
5.6,109741,0,0.078,-1.877,0.015,-2.055,0.04,-1.863,0.1,-1.718
5.64,109742,0,0.083,-1.884,0.013,-2.056,0.039,-1.865,0.111,-1.727
5.68,109743,0,0.083,-1.88,0.013,-2.059,0.039,-1.864,0.106,-1.732
5.72,109744,0,0.081,-1.877,0.011,-2.057,0.04,-1.867,0.096,-1.737
5.76,109745,0,0.084,-1.88,0.011,-2.057,0.04,-1.868,0.1,-1.726
5.8,109746,0,0.083,-1.881,0.013,-2.053,0.04,-1.863,0.094,-1.725
5.84,109747,0,0.083,-1.88,0.016,-2.056,0.04,-1.864,0.096,-1.733
5.88,109748,0,0.083,-1.882,0.017,-2.056,0.038,-1.867,0.083,-1.731
5.92,109749,0,0.09,-1.884,0.016,-2.05,0.048,-1.867,0.1,-1.735
5.96,109750,0,0.084,-1.882,0.013,-2.057,0.044,-1.868,0.104,-1.764
6,109751,0,0.082,-1.881,0.013,-2.053,0.042,-1.867,0.096,-1.733
6.04,109752,0,0.088,-1.881,0.013,-2.056,0.043,-1.864,0.095,-1.737
6.08,109753,0,0.084,-1.88,0.015,-2.059,0.04,-1.867,0.11,-1.727
6.12,109754,0,0.084,-1.88,0.015,-2.057,0.043,-1.865,0.099,-1.74
6.16,109755,0,0.084,-1.881,0.011,-2.057,0.04,-1.868,0.098,-1.741
6.2,109756,0,0.084,-1.881,0.007,-2.053,0.038,-1.865,0.099,-1.733
6.24,109757,0,0.084,-1.876,0.007,-2.055,0.037,-1.87,0.106,-1.741
6.28,109758,0,0.09,-1.881,0.012,-2.055,0.042,-1.867,0.089,-1.74
6.32,109759,0,0.088,-1.882,0.012,-2.057,0.044,-1.867,0.098,-1.738
6.36,109760,0,0.093,-1.876,0.011,-2.056,0.043,-1.87,0.092,-1.732
6.4,109761,0,0.088,-1.885,0.013,-2.057,0.043,-1.867,0.092,-1.738
6.44,109762,0,0.089,-1.887,0.009,-2.056,0.044,-1.87,0.09,-1.741
6.48,109763,0,0.088,-1.882,0.012,-2.055,0.04,-1.868,0.101,-1.741
6.52,109764,0,0.084,-1.884,0.013,-2.057,0.044,-1.868,0.089,-1.733
6.56,109765,0,0.088,-1.88,0.016,-2.053,0.04,-1.869,0.095,-1.741
6.6,109766,0,0.087,-1.884,0.013,-2.056,0.042,-1.868,0.094,-1.735
6.64,109767,0,0.092,-1.885,0.013,-2.058,0.044,-1.873,0.1,-1.74
6.68,109768,0,0.089,-1.887,0.013,-2.057,0.043,-1.871,0.098,-1.738
6.72,109769,0,0.088,-1.884,0.015,-2.053,0.049,-1.87,0.092,-1.731
6.76,109770,0,0.087,-1.885,0.017,-2.056,0.045,-1.868,0.092,-1.738
6.8,109771,0,0.087,-1.882,0.013,-2.05,0.039,-1.864,0.087,-1.735
6.84,109772,0,0.088,-1.886,0.013,-2.053,0.048,-1.867,0.094,-1.74
6.88,109773,0,0.089,-1.884,0.021,-2.057,0.042,-1.869,0.096,-1.738
6.92,109774,0,0.089,-1.885,0.015,-2.055,0.045,-1.867,0.096,-1.76
6.96,109775,0,0.09,-1.884,0.009,-2.055,0.044,-1.867,0.094,-1.742
7,109776,0,0.09,-1.886,0.011,-2.056,0.044,-1.865,0.092,-1.759
7.04,109777,0,0.088,-1.882,0.012,-2.055,0.046,-1.869,0.095,-1.743
7.08,109778,0,0.089,-1.886,0.007,-2.053,0.044,-1.87,0.098,-1.738
7.12,109779,0,0.09,-1.884,0.015,-2.055,0.049,-1.867,0.098,-1.741
7.16,109780,0,0.092,-1.884,0.012,-2.053,0.048,-1.868,0.089,-1.742
7.2,109781,0,0.088,-1.881,0.007,-2.053,0.045,-1.865,0.099,-1.742
7.24,109782,0,0.09,-1.887,0.011,-2.057,0.044,-1.865,0.096,-1.741
7.28,109783,0,0.087,-1.884,0.009,-2.05,0.042,-1.867,0.095,-1.744
7.32,109784,0,0.089,-1.885,0.005,-2.057,0.046,-1.865,0.092,-1.741
7.36,109785,0,0.088,-1.881,0.009,-2.055,0.04,-1.864,0.099,-1.737
7.4,109786,0,0.09,-1.885,0.007,-2.053,0.044,-1.865,0.096,-1.755
7.44,109787,0,0.089,-1.884,0.016,-2.057,0.045,-1.87,0.099,-1.764
7.48,109788,0,0.089,-1.882,0.016,-2.05,0.046,-1.864,0.1,-1.77
7.52,109789,0,0.087,-1.881,0.013,-2.05,0.044,-1.865,0.095,-1.747
7.56,109790,0,0.087,-1.885,0.016,-2.053,0.043,-1.864,0.107,-1.735
7.6,109791,0,0.088,-1.881,0.016,-2.053,0.039,-1.858,0.096,-1.735
7.64,109792,0,0.087,-1.884,0.017,-2.053,0.04,-1.865,0.099,-1.738
7.68,109793,0,0.089,-1.887,0.021,-2.055,0.033,-1.86,0.094,-1.737
7.72,109794,0,0.09,-1.882,0.017,-2.055,0.043,-1.863,0.095,-1.732
7.76,109795,0,0.088,-1.882,0.016,-2.048,0.039,-1.864,0.105,-1.751
7.8,109796,0,0.093,-1.884,0.015,-2.047,0.043,-1.858,0.099,-1.748
7.84,109797,0,0.089,-1.885,0.022,-2.05,0.04,-1.867,0.111,-1.743
7.88,109798,0,0.09,-1.882,0.022,-2.047,0.043,-1.864,0.105,-1.733
7.92,109799,0,0.093,-1.881,0.021,-2.053,0.042,-1.86,0.105,-1.74
7.96,109800,0,0.09,-1.885,0.023,-2.053,0.038,-1.865,0.106,-1.737
8,109801,0,0.089,-1.884,0.021,-2.057,0.038,-1.859,0.101,-1.742
8.04,109802,0,0.089,-1.882,0.017,-2.047,0.042,-1.864,0.1,-1.743
8.08,109803,0,0.095,-1.882,0.022,-2.05,0.04,-1.864,0.1,-1.735
8.12,109804,0,0.095,-1.885,0.02,-2.048,0.044,-1.867,0.11,-1.741
8.16,109805,0,0.093,-1.884,0.021,-2.048,0.043,-1.867,0.106,-1.746
8.2,109806,0,0.093,-1.886,0.02,-2.056,0.048,-1.858,0.101,-1.742
8.24,109807,0,0.092,-1.885,0.016,-2.053,0.042,-1.865,0.099,-1.758
8.28,109808,0,0.09,-1.885,0.023,-2.05,0.04,-1.864,0.089,-1.737
8.32,109809,0,0.095,-1.881,0.021,-2.05,0.042,-1.863,0.098,-1.743
8.36,109810,0,0.095,-1.885,0.021,-2.053,0.046,-1.868,0.099,-1.742
8.4,109811,0,0.092,-1.884,0.02,-2.056,0.046,-1.86,0.095,-1.748
8.44,109812,0,0.093,-1.885,0.016,-2.053,0.046,-1.864,0.1,-1.735
8.48,109813,0,0.094,-1.882,0.017,-2.053,0.044,-1.859,0.101,-1.751
8.52,109814,0,0.093,-1.884,0.022,-2.053,0.045,-1.859,0.098,-1.758
8.56,109815,0,0.093,-1.884,0.016,-2.053,0.044,-1.864,0.099,-1.743
8.6,109816,0,0.094,-1.885,0.022,-2.05,0.046,-1.86,0.096,-1.743
8.64,109817,0,0.093,-1.884,0.02,-2.053,0.045,-1.863,0.11,-1.741
8.68,109818,0,0.094,-1.881,0.023,-2.048,0.042,-1.859,0.104,-1.742
8.72,109819,0,0.09,-1.882,0.016,-2.047,0.045,-1.863,0.105,-1.758
8.76,109820,0,0.094,-1.884,0.021,-2.053,0.039,-1.86,0.094,-1.747
8.8,109821,0,0.093,-1.884,0.021,-2.053,0.043,-1.859,0.106,-1.765
8.84,109822,0,0.093,-1.886,0.021,-2.053,0.044,-1.864,0.105,-1.748
8.88,109823,0,0.092,-1.884,0.016,-2.055,0.043,-1.859,0.107,-1.762
8.92,109824,0,0.093,-1.885,0.013,-2.05,0.049,-1.864,0.112,-1.79
8.96,109825,0,0.092,-1.882,0.017,-2.053,0.044,-1.864,0.1,-1.759
9,109826,0,0.092,-1.884,0.017,-2.045,0.044,-1.863,0.118,-1.759
9.04,109827,0,0.094,-1.884,0.012,-2.05,0.044,-1.864,0.126,-1.759
9.08,109828,0,0.092,-1.884,0.013,-2.047,0.043,-1.864,0.104,-1.78
9.12,109829,0,0.093,-1.885,0.016,-2.055,0.048,-1.858,0.105,-1.74
9.16,109830,0,0.095,-1.885,0.021,-2.048,0.042,-1.858,0.107,-1.758
9.2,109831,0,0.095,-1.882,0.022,-2.053,0.046,-1.86,0.099,-1.76
9.24,109832,0,0.09,-1.881,0.016,-2.048,0.046,-1.859,0.105,-1.747
9.28,109833,0,0.095,-1.885,0.021,-2.05,0.042,-1.86,0.092,-1.742
9.32,109834,0,0.095,-1.885,0.023,-2.05,0.05,-1.863,0.098,-1.752
9.36,109835,0,0.095,-1.884,0.024,-2.05,0.044,-1.86,0.098,-1.74
9.4,109836,0,0.095,-1.885,0.027,-2.048,0.044,-1.859,0.099,-1.746
9.44,109837,0,0.096,-1.881,0.027,-2.05,0.043,-1.86,0.092,-1.754
9.48,109838,0,0.093,-1.884,0.029,-2.056,0.044,-1.857,0.099,-1.743
9.52,109839,0,0.093,-1.886,0.028,-2.055,0.05,-1.863,0.095,-1.751
9.56,109840,0,0.095,-1.884,0.028,-2.055,0.043,-1.864,0.096,-1.744
9.6,109841,0,0.094,-1.885,0.032,-2.055,0.048,-1.86,0.098,-1.752
9.64,109842,0,0.093,-1.884,0.027,-2.05,0.046,-1.863,0.101,-1.746
9.68,109843,0,0.093,-1.881,0.027,-2.048,0.045,-1.86,0.096,-1.751
9.72,109844,0,0.094,-1.882,0.028,-2.05,0.042,-1.858,0.096,-1.746
9.76,109845,0,0.094,-1.882,0.026,-2.05,0.042,-1.859,0.094,-1.738
9.8,109846,0,0.092,-1.884,0.026,-2.05,0.045,-1.859,0.095,-1.741
9.84,109847,0,0.093,-1.885,0.021,-2.05,0.049,-1.859,0.096,-1.741
9.88,109848,0,0.094,-1.887,0.029,-2.055,0.043,-1.859,0.1,-1.751
9.92,109849,0,0.092,-1.884,0.027,-2.048,0.045,-1.858,0.101,-1.759
9.96,109850,0,0.095,-1.882,0.023,-2.05,0.043,-1.858,0.09,-1.741
10,109851,0,0.094,-1.881,0.026,-2.05,0.042,-1.858,0.098,-1.744
10.04,109852,0,0.099,-1.884,0.028,-2.053,0.044,-1.86,0.098,-1.751
10.08,109853,0,0.096,-1.885,0.027,-2.055,0.043,-1.86,0.092,-1.746
10.12,109854,0,0.095,-1.882,0.022,-2.05,0.046,-1.86,0.096,-1.758
10.16,109855,0,0.096,-1.881,0.027,-2.048,0.044,-1.86,0.092,-1.746
10.2,109856,0,0.095,-1.881,0.027,-2.053,0.046,-1.86,0.099,-1.74
10.24,109857,0,0.095,-1.882,0.023,-2.053,0.046,-1.863,0.104,-1.762
10.28,109858,0,0.095,-1.882,0.024,-2.055,0.044,-1.858,0.114,-1.764
10.32,109859,0,0.095,-1.882,0.023,-2.055,0.045,-1.86,0.106,-1.77
10.36,109860,0,0.099,-1.882,0.023,-2.048,0.043,-1.859,0.106,-1.742
10.4,109861,0,0.096,-1.881,0.024,-2.053,0.044,-1.853,0.099,-1.751
10.44,109862,0,0.093,-1.881,0.027,-2.05,0.045,-1.859,0.098,-1.743
10.48,109863,0,0.096,-1.881,0.024,-2.053,0.042,-1.857,0.098,-1.743
10.52,109864,0,0.096,-1.881,0.028,-2.05,0.044,-1.853,0.098,-1.748
10.56,109865,0,0.096,-1.884,0.028,-2.055,0.044,-1.86,0.095,-1.747
10.6,109866,0,0.099,-1.884,0.027,-2.053,0.043,-1.857,0.088,-1.742
10.64,109867,0,0.099,-1.882,0.032,-2.05,0.049,-1.857,0.094,-1.759
10.68,109868,0,0.095,-1.881,0.028,-2.048,0.045,-1.853,0.098,-1.74
10.72,109869,0,0.094,-1.881,0.023,-2.053,0.044,-1.854,0.094,-1.777
10.76,109870,0,0.095,-1.885,0.026,-2.053,0.043,-1.86,0.096,-1.76
10.8,109871,0,0.095,-1.884,0.028,-2.053,0.048,-1.859,0.1,-1.781
10.84,109872,0,0.093,-1.884,0.027,-2.053,0.045,-1.859,0.092,-1.762
10.88,109873,0,0.092,-1.884,0.024,-2.055,0.044,-1.859,0.098,-1.741
10.92,109874,0,0.093,-1.882,0.024,-2.048,0.045,-1.857,0.092,-1.74
10.96,109875,0,0.095,-1.885,0.021,-2.05,0.048,-1.859,0.1,-1.759
11,109876,0,0.096,-1.884,0.026,-2.053,0.049,-1.859,0.092,-1.744
11.04,109877,0,0.095,-1.885,0.02,-2.056,0.048,-1.859,0.098,-1.744
11.08,109878,0,0.095,-1.884,0.022,-2.05,0.045,-1.86,0.092,-1.743
